post_id,treatment,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28
vp0qga,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qgd,1,,,2,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,
vp0qge,1,,,2,437,447,447,459,459,456,,,,,,,,,,,,,,,,,,,,,
vp0qgf,0,,,1,4,8,7,4,8,5,,,,,,,,,,,,,,,,,,,,,
vp0qgi,0,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
vp0qgm,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qgo,1,,,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,
vp0qgp,1,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qgs,1,,,8,1531,1569,1584,1580,1588,1587,,,,,,,,,,,,,,,,,,,,,
vp0qgv,1,,,2,15,15,16,16,16,16,,,,,,,,,,,,,,,,,,,,,
vp0qgw,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qgx,0,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
vp0qgy,-1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qgz,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qh4,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qh6,1,,,2,13,13,11,13,14,12,,,,,,,,,,,,,,,,,,,,,
vp0qh9,1,,,2,2,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qhb,1,,,2,6,8,7,7,8,9,,,,,,,,,,,,,,,,,,,,,
vp0qhj,1,,,3,34,38,42,42,43,45,,,,,,,,,,,,,,,,,,,,,
vp0qhl,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qhm,0,,,1,4,5,4,4,4,3,,,,,,,,,,,,,,,,,,,,,
vp0qhn,1,,,3,262,265,272,271,272,269,,,,,,,,,,,,,,,,,,,,,
vp0qhq,1,,,2,533,534,544,543,541,540,,,,,,,,,,,,,,,,,,,,,
vp0qhr,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qht,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qhv,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qhw,1,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qi7,0,,,4,6,7,6,7,6,8,,,,,,,,,,,,,,,,,,,,,
vp0qia,-1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qib,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qic,1,,,3,33,39,37,36,34,35,,,,,,,,,,,,,,,,,,,,,
vp0qid,1,,,2,6,5,7,6,6,6,,,,,,,,,,,,,,,,,,,,,
vp0qie,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
