post_id,treatment,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28
vr7bhi,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bho,1,,,,,,2,3,1,1,2,2,1,,,,,,,,,,,,,,,,,,
vr7bhr,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bht,0,,,,,,5,19,21,19,19,21,23,,,,,,,,,,,,,,,,,,
vr7bhv,1,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7bhx,0,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
vr7bi0,0,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
vr7bi1,0,,,,,,9,57,52,55,55,54,52,,,,,,,,,,,,,,,,,,
vr7bi2,1,,,,,,7,607,617,616,620,622,623,,,,,,,,,,,,,,,,,,
vr7bi4,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bi5,1,,,,,,2,20,19,21,18,19,20,,,,,,,,,,,,,,,,,,
vr7bic,0,,,,,,5,1793,1805,1809,1801,1807,1801,,,,,,,,,,,,,,,,,,
vr7big,0,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bii,1,,,,,,4,16,23,27,25,28,26,,,,,,,,,,,,,,,,,,
vr7bip,0,,,,,,1,6,4,4,5,4,5,,,,,,,,,,,,,,,,,,
vr7biq,0,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bit,1,,,,,,1,61,58,63,59,61,62,,,,,,,,,,,,,,,,,,
vr7biu,0,,,,,,1,9,10,11,11,10,10,,,,,,,,,,,,,,,,,,
vr7biv,1,,,,,,5,161,173,177,183,180,181,,,,,,,,,,,,,,,,,,
vr7bix,1,,,,,,2,2,2,2,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,
vr7biy,1,,,,,,4,19,26,23,26,24,24,,,,,,,,,,,,,,,,,,
vr7biz,0,,,,,,1,3,3,2,4,3,3,,,,,,,,,,,,,,,,,,
vr7bj2,1,,,,,,2,14,13,14,16,17,16,,,,,,,,,,,,,,,,,,
vr7bj3,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bja,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bjb,1,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7bjd,0,,,,,,2,9,9,10,10,11,11,,,,,,,,,,,,,,,,,,
vr7bjh,0,,,,,,1,75,81,83,82,79,86,,,,,,,,,,,,,,,,,,
vr7bjj,0,,,,,,6,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bjs,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bjt,0,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
vr7bju,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bk3,1,,,,,,2,3,3,1,3,2,3,,,,,,,,,,,,,,,,,,
vr7bk4,1,,,,,,4,14,16,15,14,14,15,,,,,,,,,,,,,,,,,,
vr7bk5,0,,,,,,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bk7,1,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7bka,0,,,,,,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bkb,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bkc,1,,,,,,2,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
vr7bkn,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bkr,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bkt,1,,,,,,3,6,6,6,5,5,6,,,,,,,,,,,,,,,,,,
vr7bkx,1,,,,,,3,10,7,7,9,10,8,,,,,,,,,,,,,,,,,,
vr7bkz,-1,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bl4,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bl9,0,,,,,,3,6,6,7,6,8,7,,,,,,,,,,,,,,,,,,
vr7bla,1,,,,,,3,12,13,12,12,12,13,,,,,,,,,,,,,,,,,,
vr7blg,0,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7blh,1,,,,,,3,37,37,37,38,37,38,,,,,,,,,,,,,,,,,,
vr7bli,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7blk,0,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
vr7bln,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7blp,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7blz,0,,,,,,1,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,
vr7bm1,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bm2,0,,,,,,3,304,312,316,311,319,310,,,,,,,,,,,,,,,,,,
vr7bm7,1,,,,,,5,12,12,13,14,14,13,,,,,,,,,,,,,,,,,,
vr7bm8,-1,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bm9,0,,,,,,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7bma,1,,,,,,2,4,6,5,4,4,6,,,,,,,,,,,,,,,,,,
vr7bmd,0,,,,,,1,3,5,5,4,3,4,,,,,,,,,,,,,,,,,,
vr7bmf,0,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
vr7bmk,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bmm,0,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bmp,0,,,,,,5,23,22,22,23,22,24,,,,,,,,,,,,,,,,,,
vr7bmw,1,,,,,,2,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,
vr7bn1,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bn6,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bne,0,,,,,,2,95,98,94,95,95,96,,,,,,,,,,,,,,,,,,
vr7bnl,0,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
vr7bnr,0,,,,,,1,4,5,5,5,4,4,,,,,,,,,,,,,,,,,,
vr7bns,1,,,,,,3,8,7,7,7,8,7,,,,,,,,,,,,,,,,,,
vr7bnt,0,,,,,,1,5,4,3,4,5,3,,,,,,,,,,,,,,,,,,
vr7bnu,0,,,,,,2,5,6,6,5,6,5,,,,,,,,,,,,,,,,,,
vr7bnv,0,,,,,,2,4,4,4,3,3,4,,,,,,,,,,,,,,,,,,
vr7bnw,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bo2,0,,,,,,1,10,9,10,10,9,11,,,,,,,,,,,,,,,,,,
vr7bo6,1,,,,,,2,2,2,3,4,3,3,,,,,,,,,,,,,,,,,,
vr7bo7,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bo9,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bog,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7boi,0,,,,,,3,259,261,261,270,266,269,,,,,,,,,,,,,,,,,,
vr7bon,1,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7boo,0,,,,,,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7bow,0,,,,,,2,7,7,7,8,7,9,,,,,,,,,,,,,,,,,,
vr7boz,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bp2,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bp4,1,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7bpg,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bph,0,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7bpk,1,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bps,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bpu,1,,,,,,5,13,12,15,13,14,14,,,,,,,,,,,,,,,,,,
vr7bpv,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bpw,1,,,,,,2,5,4,4,6,4,5,,,,,,,,,,,,,,,,,,
vr7bpy,0,,,,,,3,789,809,840,850,861,873,,,,,,,,,,,,,,,,,,
vr7bq1,1,,,,,,4,290,293,299,305,307,309,,,,,,,,,,,,,,,,,,
vr7bq2,1,,,,,,4,38,36,38,38,39,41,,,,,,,,,,,,,,,,,,
vrxqly,1,,,,,,,2,22,20,22,19,20,21.0,,,,,,,,,,,,,,,,,
vrxqm1,0,,,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,
vrxqm3,0,,,,,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
vrxqm5,0,,,,,,,4,77,82,81,83,82,78.0,,,,,,,,,,,,,,,,,
vrxqm7,1,,,,,,,3,20,22,22,21,20,21.0,,,,,,,,,,,,,,,,,
vrxqmb,1,,,,,,,2,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,
vrxqmc,1,,,,,,,2,2,2,2,2,2,2.0,,,,,,,,,,,,,,,,,
vrxqmd,1,,,,,,,2,4,5,6,5,5,6.0,,,,,,,,,,,,,,,,,
vrxqmg,1,,,,,,,2,2,2,2,2,2,2.0,,,,,,,,,,,,,,,,,
vrxqml,0,,,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,
vrxqmn,1,,,,,,,2,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,
vrxqmt,0,,,,,,,1,1,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,
vrxqmu,0,,,,,,,1,8,7,8,7,7,7,,,,,,,,,,,,,,,,,
vrxqmw,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqn2,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqn5,1,,,,,,,3,9,10,10,11,10,11,,,,,,,,,,,,,,,,,
vrxqna,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqnc,1,,,,,,,2,6,6,5,6,6,6,,,,,,,,,,,,,,,,,
vrxqne,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqni,1,,,,,,,0,4,5,5,4,5,5,,,,,,,,,,,,,,,,,
vrxqnj,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqnl,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqnn,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqnq,1,,,,,,,2,92,96,101,99,100,100,,,,,,,,,,,,,,,,,
vrxqns,1,,,,,,,10,360,367,361,364,364,362,,,,,,,,,,,,,,,,,
vrxqnt,1,,,,,,,2,2,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,
vrxqnx,0,,,,,,,1,6,6,7,5,6,7,,,,,,,,,,,,,,,,,
vrxqo5,1,,,,,,,2,5,5,8,9,7,6,,,,,,,,,,,,,,,,,
vrxqo6,1,,,,,,,2,7,6,6,6,5,8,,,,,,,,,,,,,,,,,
vrxqoc,1,,,,,,,3,2,1,0,0,0,0,,,,,,,,,,,,,,,,,
vrxqod,0,,,,,,,2,3,3,4,5,4,3,,,,,,,,,,,,,,,,,
vrxqog,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqok,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqor,1,,,,,,,5,989,1018,1032,1048,1058,1060,,,,,,,,,,,,,,,,,
vrxqox,0,,,,,,,4,2,4,1,3,2,4,,,,,,,,,,,,,,,,,
vrxqoy,0,,,,,,,1,301,311,316,315,318,317,,,,,,,,,,,,,,,,,
vrxqoz,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqp1,1,,,,,,,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
vrxqp6,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqp9,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqpe,0,,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqpi,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqpn,1,,,,,,,2,4,4,4,3,3,4,,,,,,,,,,,,,,,,,
vrxqpo,0,,,,,,,3,42,42,40,42,40,43,,,,,,,,,,,,,,,,,
vrxqpt,1,,,,,,,4,12,11,12,11,11,11,,,,,,,,,,,,,,,,,
vrxqpw,0,,,,,,,7,8,8,7,7,8,7,,,,,,,,,,,,,,,,,
vrxqpx,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqpz,0,,,,,,,1,2,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,
vrxqq1,1,,,,,,,4,13,13,13,14,14,15,,,,,,,,,,,,,,,,,
vrxqq2,1,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqq4,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqq6,1,,,,,,,2,28,27,27,27,24,26,,,,,,,,,,,,,,,,,
vrxqqa,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqqb,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqqd,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqqf,1,,,,,,,2,9,9,10,10,10,10,,,,,,,,,,,,,,,,,
vrxqql,1,,,,,,,2,5,3,4,4,3,4,,,,,,,,,,,,,,,,,
vrxqqm,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqqo,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqqp,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqqs,0,,,,,,,1,3,4,3,3,4,3,,,,,,,,,,,,,,,,,
vrxqqt,0,,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqr1,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqr4,1,,,,,,,2,6,7,8,8,7,7,,,,,,,,,,,,,,,,,
vrxqr5,1,,,,,,,3,15,15,15,14,14,14,,,,,,,,,,,,,,,,,
vrxqr8,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqr9,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqrb,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqre,0,,,,,,,6,7,6,7,6,5,6,,,,,,,,,,,,,,,,,
vrxqrh,0,,,,,,,1,13,15,15,16,17,16,,,,,,,,,,,,,,,,,
vrxqrj,1,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
vrxqrk,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
vrxqrn,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqrp,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqrv,0,,,,,,,1,35,34,36,34,34,35,,,,,,,,,,,,,,,,,
vrxqrz,0,,,,,,,3,103,104,102,102,106,105,,,,,,,,,,,,,,,,,
vrxqs0,0,,,,,,,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,
vrxqs1,1,,,,,,,1,85,100,95,106,106,105,,,,,,,,,,,,,,,,,
vrxqs8,0,,,,,,,9,3061,3138,3187,3199,3222,3238,,,,,,,,,,,,,,,,,
vrxqs9,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqsc,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqsd,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqse,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqsg,1,,,,,,,3,4,4,2,2,6,2,,,,,,,,,,,,,,,,,
vrxqsi,1,,,,,,,26,150,147,152,152,152,149,,,,,,,,,,,,,,,,,
vrxqsj,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqsk,0,,,,,,,2,7,6,7,8,8,6,,,,,,,,,,,,,,,,,
vrxqsl,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqsn,0,,,,,,,1,9,9,9,9,9,9,,,,,,,,,,,,,,,,,
vrxqsw,1,,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
vrxqsz,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqt2,1,,,,,,,2,30,31,29,29,34,31,,,,,,,,,,,,,,,,,
vrxqt4,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqtc,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqte,1,,,,,,,2,1,1,2,3,1,1,,,,,,,,,,,,,,,,,
vrxqtf,-1,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqtg,0,,,,,,,1,21,124,123,125,126,125,,,,,,,,,,,,,,,,,
vrxqtj,1,,,,,,,2,10,10,10,10,12,12,,,,,,,,,,,,,,,,,
vrxqtm,1,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
vrxqtn,0,,,,,,,1,98,104,102,106,103,102,,,,,,,,,,,,,,,,,
vrxqto,1,,,,,,,3,0,0,4,5,5,4,,,,,,,,,,,,,,,,,
vrxqtt,0,,,,,,,10,136,137,139,133,136,137,,,,,,,,,,,,,,,,,
vrxqtx,0,,,,,,,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
vrxqty,1,,,,,,,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqu4,0,,,,,,,6,708,712,715,716,719,715,,,,,,,,,,,,,,,,,
vrxqua,0,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqud,0,,,,,,,4,126,136,141,138,142,140,,,,,,,,,,,,,,,,,
vrxquf,0,,,,,,,1,6,7,9,9,10,10,,,,,,,,,,,,,,,,,
vrxqug,0,,,,,,,2,3,4,3,4,4,5,,,,,,,,,,,,,,,,,
vrxquo,0,,,,,,,1,28,29,29,29,30,28,,,,,,,,,,,,,,,,,
vrxqur,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqus,0,,,,,,,7,40,42,41,42,41,39,,,,,,,,,,,,,,,,,
vrxqut,1,,,,,,,7,1312,1317,1314,1320,1314,1320,,,,,,,,,,,,,,,,,
vrxquv,1,,,,,,,5,24,25,27,27,33,30,,,,,,,,,,,,,,,,,
vrxqux,1,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
vrxqv7,1,,,,,,,2,7,6,6,8,8,6,,,,,,,,,,,,,,,,,
vrxqv8,1,,,,,,,12,94,92,91,88,92,88,,,,,,,,,,,,,,,,,
vrxqva,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqvc,1,,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,
vrxqvg,0,,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,
vrxqvj,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqvl,0,,,,,,,2,5,8,7,8,7,8,,,,,,,,,,,,,,,,,
vrxqvq,1,,,,,,,1,3,3,3,6,5,8,,,,,,,,,,,,,,,,,
vrxqvr,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqvz,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqw1,0,,,,,,,2,4,4,4,4,4,4,,,,,,,,,,,,,,,,,
vrxqw2,0,,,,,,,1,12,15,13,12,14,12,,,,,,,,,,,,,,,,,
vrxqw6,1,,,,,,,5,121,122,120,119,119,119,,,,,,,,,,,,,,,,,
vrxqwa,0,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
vrxqwc,1,,,,,,,5,18,20,17,23,20,21,,,,,,,,,,,,,,,,,
vrxqwd,0,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqwe,1,,,,,,,2,69,68,70,70,70,73,,,,,,,,,,,,,,,,,
vrxqwi,1,,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
vrxqwj,1,,,,,,,3,141,144,140,144,136,140,,,,,,,,,,,,,,,,,
vrxqwo,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqwz,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqx0,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqx8,1,,,,,,,2,2,3,4,2,4,4,,,,,,,,,,,,,,,,,
vrxqxa,0,,,,,,,20,2889,2967,2972,2974,2990,2992,,,,,,,,,,,,,,,,,
vrxqxd,1,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,
vrxqxf,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqxj,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqxm,0,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqxo,0,,,,,,,0,4,9,9,7,9,6,,,,,,,,,,,,,,,,,
vrxqxp,0,,,,,,,6,65,66,70,74,67,72,,,,,,,,,,,,,,,,,
vrxqxt,0,,,,,,,3,8,11,11,11,11,11,,,,,,,,,,,,,,,,,
vrxqxv,0,,,,,,,6,103,107,110,106,108,106,,,,,,,,,,,,,,,,,
vrxqxw,1,,,,,,,2,5,4,5,6,6,4,,,,,,,,,,,,,,,,,
vrxqyf,1,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
vrxqyj,1,,,,,,,2,9,9,10,9,9,8,,,,,,,,,,,,,,,,,
vspwsk,0,,,,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,
vspwsv,0,,,,,,,,1,4,4,3,5,4,4.0,,,,,,,,,,,,,,,,
vspwsw,1,,,,,,,,3,3,3,3,3,3,3.0,,,,,,,,,,,,,,,,
vspwt0,0,,,,,,,,1,1,2,3,3,2,2.0,,,,,,,,,,,,,,,,
vspwt1,1,,,,,,,,2,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,
vspwt2,1,,,,,,,,2,15,16,16,15,15,17.0,,,,,,,,,,,,,,,,
vspwt6,0,,,,,,,,3,391,393,390,392,392,397.0,,,,,,,,,,,,,,,,
vspwt7,1,,,,,,,,2,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,
vspwt8,1,,,,,,,,2,2,2,2,2,2,2.0,,,,,,,,,,,,,,,,
vspwta,1,,,,,,,,2,3,3,5,4,4,4.0,,,,,,,,,,,,,,,,
vspwtb,1,,,,,,,,2,7,9,10,10,8,9.0,,,,,,,,,,,,,,,,
vspwtf,1,,,,,,,,4,6,6,7,5,7,5.0,,,,,,,,,,,,,,,,
vspwtm,0,,,,,,,,7,109,104,104,106,110,107.0,,,,,,,,,,,,,,,,
vspwtn,1,,,,,,,,2,78,78,80,78,80,75.0,,,,,,,,,,,,,,,,
vspwto,1,,,,,,,,2,2,2,2,2,2,2.0,,,,,,,,,,,,,,,,
vspwtq,0,,,,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,
vspwts,0,,,,,,,,2,2,2,2,2,2,2.0,,,,,,,,,,,,,,,,
vspwtv,1,,,,,,,,2,23,24,24,25,24,26.0,,,,,,,,,,,,,,,,
vspwtw,0,,,,,,,,1,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,
vspwu3,1,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,
vspwu4,0,,,,,,,,1,10,10,10,9,10,10,,,,,,,,,,,,,,,,
vspwu6,1,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,
vspwu7,0,,,,,,,,1,3,4,4,4,4,3,,,,,,,,,,,,,,,,
vspwu8,1,,,,,,,,2,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,
vspwuc,1,,,,,,,,19,1064,1083,1081,1088,1088,1087,,,,,,,,,,,,,,,,
vspwue,0,,,,,,,,3,10,10,10,10,9,9,,,,,,,,,,,,,,,,
vspwuk,0,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
vspwum,1,,,,,,,,2,8,9,11,10,10,10,,,,,,,,,,,,,,,,
vspwup,0,,,,,,,,1,6,3,4,3,4,5,,,,,,,,,,,,,,,,
vspwuu,1,,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,
vspwuw,0,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
vspwuz,1,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,
vspwv3,1,,,,,,,,2,6,6,6,8,6,8,,,,,,,,,,,,,,,,
vspwv7,0,,,,,,,,1,5,4,4,5,3,4,,,,,,,,,,,,,,,,
vspwva,1,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,
vspwvb,0,,,,,,,,4,2165,2187,2182,2191,2194,2190,,,,,,,,,,,,,,,,
vspwve,0,,,,,,,,1,8,9,8,8,8,8,,,,,,,,,,,,,,,,
vspwvh,1,,,,,,,,3,192,198,201,200,200,197,,,,,,,,,,,,,,,,
vspwvi,0,,,,,,,,1,8,9,9,9,9,9,,,,,,,,,,,,,,,,
vspwvl,1,,,,,,,,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,
vspwvm,0,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
vspwvn,1,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,
vspwvp,0,,,,,,,,2,2,3,3,3,2,4,,,,,,,,,,,,,,,,
vspwvq,1,,,,,,,,1,11,9,11,9,13,11,,,,,,,,,,,,,,,,
vspwvv,0,,,,,,,,8,20,18,19,19,20,18,,,,,,,,,,,,,,,,
vspwvx,1,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,
vspwvz,0,,,,,,,,6,127,127,131,130,130,132,,,,,,,,,,,,,,,,
vspww5,0,,,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,
vspww6,0,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
